time,container_cpu_usage_seconds_total,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_wattage_current_milliwatts
1720776467.591,34.589496256,93,81,96,79,42,34,4762
1720776468.591,34.589496256,93,83,96,79,36,34,4762
1720776469.591,34.589496256,98,83,88,94,36,41,5006
1720776470.591,34.589496256,98,89,88,94,39,41,5006
1720776471.591,34.589496256,91,89,74,99,39,40,5169
1720776472.591,34.589496256,91,81,74,99,39,40,5169
1720776473.591,34.589496256,91,81,80,97,39,33,5250
1720776474.591,34.589496256,91,88,80,97,33,33,5250
1720776475.591,34.589496256,95,88,96,93,33,33,5250
1720776476.591,34.589496256,95,97,96,93,33,32,5128
1720776477.591,34.589496256,96,97,96,93,36,32,5128
1720776478.591,34.589496256,96,97,94,87,36,45,5210
1720776479.591,34.589496256,96,87,94,87,45,45,5210
1720776480.591,34.589496256,94,87,99,86,45,30,5088
1720776481.591,34.589496256,94,100,99,86,32,30,5088
1720776482.591,34.589496256,83,100,88,88,32,28,5006
1720776483.591,34.589496256,83,94,88,88,29,28,5006
1720776484.591,34.589496256,93,94,83,80,29,28,5047
1720776485.591,34.589496256,93,97,83,80,40,28,5047
1720776486.591,34.589496256,98,97,96,84,40,33,4965
1720776487.591,34.589496256,98,91,96,84,28,33,4965
1720776488.591,34.589496256,92,91,92,95,28,33,4925
1720776489.591,34.589496256,92,92,92,95,32,33,4925
1720776490.591,34.589496256,81,92,100,79,32,32,4803
1720776491.591,34.589496256,81,86,100,79,43,32,4803
1720776492.591,34.589496256,90,86,90,89,43,44,5210
1720776493.591,34.589496256,90,80,90,89,42,44,5210
1720776494.591,34.589496256,96,80,98,84,42,44,5210
1720776495.591,34.589496256,96,94,98,84,42,34,5291
1720776496.591,34.589496256,94,94,98,84,32,34,5291
1720776497.591,34.589496256,94,94,88,100,32,37,4843
1720776498.591,34.589496256,94,85,88,100,34,37,4843
1720776499.591,34.589496256,96,85,89,76,34,44,5210
1720776500.591,34.589496256,96,83,89,76,37,44,5210
1720776501.591,34.589496256,84,83,79,92,37,32,5006
1720776502.591,34.589496256,84,93,79,92,34,32,5006
1720776503.591,34.589496256,94,93,86,97,34,31,4925
1720776504.591,34.589496256,94,95,86,97,28,31,4925
1720776505.591,34.589496256,82,95,91,95,28,38,5128
1720776506.591,34.589496256,82,93,91,95,35,38,5128
1720776507.591,34.589496256,88,93,89,96,35,30,5088
1720776508.591,34.589496256,88,90,89,96,37,30,5088
1720776509.591,34.589496256,92,90,91,95,37,32,5088
1720776510.591,34.589496256,92,93,91,95,35,32,5088
1720776511.591,34.589496256,91,93,92,93,35,46,5291
1720776512.591,34.589496256,91,93,92,93,44,46,5291
1720776513.591,34.589496256,93,93,94,88,44,46,5291
1720776514.591,34.589496256,93,93,94,88,44,33,5169
1720776515.591,34.589496256,95,93,94,88,32,33,5169
1720776516.591,34.589496256,95,93,70,90,32,39,5169
